score,title,company,location,countries,posted,url,source,department,contract_type,matched,first_seen,flags
52,PMC Commissioning Superintendent - Rotating,Wood,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-06-29,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/30512,wood,,,"United Arab Emirates, commissioning, superintendent",2026-08-21 07:51:25,
52,Senior Construction Supervisor ( E&I ) - Offshore Site Rotation 6 weeks on / 3 weeks Off,KBR,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-06-26,https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Abu-Dhabi-United-Arab-Emirates/Senior-Construction-Supervisor---E-I-----Offshore-Site-Rotation-6-weeks-on---3-weeks-Off_R2125553/apply,kbr,"Engineering, Technology, & Science",Full time,"United Arab Emirates, offshore, supervisor, project",2026-08-21 09:42:17,
52,Area Sales & Marketing Director,WTS Energy,Saudi Arabia,Saudi Arabia,2026-06-25,https://www.wtsenergy.com/job/area-sales-marketing-director/,wtsenergy,,FULL_TIME,"Saudi Arabia, pipeline, safety, operations",2026-08-21 07:56:15,
52,Reliability Engineer-Electrical,KBR,"Jubail, Saudi Arabia",Saudi Arabia,2026-06-17,https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Jubail-Saudi-Arabia/Reliability-Engineer-Electrical_R2125230/apply,kbr,"Engineering, Technology, & Science",Full time,"Saudi Arabia, electrical, reliability, engineer",2026-08-21 09:42:17,
52,Head of Department - Civil Structural Architectural (Onshore & Offshore),Wood,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-06-16,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28969,wood,,,"United Arab Emirates, offshore, civil, structural",2026-08-21 07:51:25,
52,Project Manager - Operations & Maintenance,KBR,"Basra, Iraq",Iraq,2026-06-16,https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Basra-Al-Barah-Iraq/Project-Manager---Operations---Maintenance_R2125133/apply,kbr,"Engineering, Technology, & Science",Full time,"Iraq, maintenance, operations, manager, project",2026-08-21 09:42:17,
51,QSSU-SINOPEC-PPI-PIPELINE INSPECTOR,Q-Sourcing Servtec,"Kampala, Uganda",Uganda,,https://qsourcing.zohorecruit.com/jobs/Careers/735362000020337171/QSSU-SINOPEC-PPI-PIPELINE-INSPECTOR,qsourcing,,Full time,"Uganda, pipeline, inspector",2026-08-21 13:09:56,
51,"Superintendent - Construction (Structural) in Abu Dhabi, United Arab Emirates",Petrofac,,United Arab Emirates,,https://petrofac.referrals.selectminds.com/jobs/superintendent-construction-structural-12110,petrofac,,,"United Arab Emirates, civil, structural, superintendent",2026-08-21 12:40:17,
51,Precom Supervisor Piping Offsite,TrueNorth Africa,,Uganda,,https://truenorthafrica.com/job/precom-supervisor-piping-offsite-2/,truenorth,,,"Uganda, piping, supervisor, project",2026-08-21 07:53:19,
51,Geólogo Júnior do Projecto,Aldelia,"Cabo Delgado, Moçambique, Moçambique",Mozambique,,https://app.beehire.com/invite/JZSCiN3Lv,aldelia,,permanent,"Mozambique, qa/qc, quality control",2026-08-21 05:20:38,
51,Project Cost Controller,Aldelia,"Maputo, Mozambique, Maputo, Mozambique",Mozambique,,https://app.beehire.com/invite/j7Gnc6TdH,aldelia,,permanent,"Mozambique, reliability, cost control, project",2026-08-21 05:20:38,
51,Project Manager - Mauritania (Chinese Nationals Only),Aldelia,Mauritanie,Mauritania,,https://app.beehire.com/invite/kRwFdW9Gv,aldelia,,permanent,"Mauritania, operations, manager, procurement, project",2026-08-21 05:20:38,
51,Project Administrator (Client Representative),Aldelia,"Maputo, Mozambique, Maputo, Mozambique",Mozambique,,https://app.beehire.com/invite/5DxZUd5Iw,aldelia,,permanent,"Mozambique, operations, procurement, document control, project",2026-08-21 05:20:38,
51,Store & Logistics Manager,Aldelia,Rwanda,Rwanda,,https://app.beehire.com/invite/SXdCNQw4O,aldelia,,permanent,"Rwanda, integrity, operations, manager",2026-08-21 05:20:38,
51,C&P Local Content Coordinator (Locals/Namibians),Aldelia,Namibia,Namibia,,https://app.beehire.com/invite/WHkMinlTe,aldelia,,permanent,"Namibia, integrity, procurement, residential",2026-08-21 05:20:38,
51,Business Development Manager_ Nigeria (Internal Recruitment),Aldelia,"Lagos, Nigeria, Lagos, Nigeria",Nigeria,,https://app.beehire.com/invite/CcA1hQS4Z,aldelia,,permanent,"Nigeria, pipeline, operations, manager",2026-08-21 05:20:38,
51,Permit to Work Issuing Authority - 3rd party contractor,Aldelia,United Arab Emirates,United Arab Emirates,,https://app.beehire.com/invite/EzKYtj2e4,aldelia,,fixedTerm,"United Arab Emirates, hse, safety, project",2026-08-21 05:20:38,
